UniqueID,next_3m_txn_count
00093e2d-9e1e-4061-ad27-a79b8ff9e165,129
0011d60f-a4e2-4333-81fc-2d557a82109b,16
0016f1e2-64c1-4c65-a668-1dc6bf3b5875,117
001aa3c5-632d-435e-a421-cc3615ccef4d,70
00298c6f-4f9d-4f28-b72c-ad0e56e9eb84,393
00311e57-09d7-4908-8e27-9bb6e4720286,72
00330c85-a6b6-4089-a64a-7a0a6999d24a,18
0035ddb5-1120-4c13-8ad8-be275345fffa,106
00394f7b-acad-4cf0-bc8c-32ac3f1733b9,152
0044942a-ac2b-414d-b8b2-46b280cf0b97,280
0045d2f4-26f4-4f03-8992-f20832f11603,184
006245e3-7595-4183-b8e1-f3b8d05896b2,62
0063146a-3115-4387-b8aa-265ae22fd968,344
006401ca-de87-4349-8022-2943cd1802b6,215
006a1c7a-d434-46b5-a50f-d0426f12bbd6,151
006f2013-3a99-430f-8a06-48414659f12c,45
007547bb-e7a4-4f77-abf0-f017df26a8d6,123
0077c795-8f9f-41da-a001-f39461e849fe,38
008b9893-392f-44e1-8782-4a4b9e1f264e,6
009144d3-22ae-4e07-b964-b7a2090b6910,12
0092eebf-1b22-4110-b259-681b33d3bef5,168
0095e6b0-4dc5-4d1f-8106-eabf9e26045b,130
009b4aca-206b-4176-870d-61914bd4594d,98
009ca784-5714-47a2-b55d-88415c0249b4,126
00aa8c9d-9e19-4316-8150-30c24c5ed1b3,161
00ab66a9-fd61-4581-9070-e492659d3c80,61
00b1fb06-2c5a-4289-8eca-04ed6c53a169,156
00b67d31-38a9-489c-a34e-9043f46b6e63,200
00bd4a12-bab0-4155-9e6c-00392047d1df,69
00ce96b9-791f-4e46-965f-f594080d21fe,37
00d6afcd-c72d-4b5d-8f64-f470306bbb03,126
00d6f26b-08b9-4f4f-8c79-317dabe3ed72,9
00df5da6-94a8-4695-95b6-dd7cbbd9a4c8,395
00e5bd57-5659-4c89-9e50-30dd0b929b4e,203
00eab237-6392-404f-baab-5e7c551c2a57,156
00ecdf6a-05a0-490c-bab3-87966c7d4093,44
00f1fe79-fee2-4e67-bffd-bae61b51ec03,24
0106e36c-2db3-40f5-bd16-bb8edaad0670,8
010bb053-ad21-4802-b03b-e9d2a2b0e420,236
010fabd5-4543-48b6-a428-a8ce11860fce,70
0126360e-e8e7-405a-8f09-a5f909a6b590,211
0130623f-b41d-442c-bad0-bc6c2ab8c717,266
0135b992-67bd-436e-9cc5-f313c2b5c199,194
013a8e96-b04b-4545-90ae-eda30a8f7dc2,37
013c6d77-1930-42ed-9733-cab3d349392e,14
01414591-2808-4d52-b953-91fb2511b8b1,200
01427784-68cc-472a-a07d-f77343e0b073,405
