mjd filter flux flux_error zp zpsys
0.0 desz 1.103 5.545 27.5 ab
1.0 desg 2.047 9.817 27.5 ab
1.004000000000815 desr 2.024 4.317 27.5 ab
1.010999999998603 desi -5.185 7.808 27.5 ab
2.0 desz -6.651 4.915 27.5 ab
3.0 desg -1.941 6.914 27.5 ab
3.007999999994354 desr 0.9293 2.783 27.5 ab
3.014999999999418 desi 5.144 4.072 27.5 ab
7.007999999994354 desz -5.182 5.69 27.5 ab
8.014999999999418 desg -4.401 5.172 27.5 ab
8.023000000001048 desr -3.906 5.379 27.5 ab
8.026999999994587 desi 0.2572 7.618 27.5 ab
9.010999999998603 desz 2.177 5.123 27.5 ab
10.010999999998603 desg 3.183 3.613 27.5 ab
10.019000000000233 desr 3.587 2.786 27.5 ab
10.026999999994587 desi -2.181 4.809 27.5 ab
15.057999999997264 desz -8.154 5.346 27.5 ab
16.034999999996217 desg -7.632 4.185 27.5 ab
16.042999999997846 desr 2.768 2.823 27.5 ab
16.057999999997264 desi 0.6516 4.407 27.5 ab
17.014999999999418 desz 7.13 3.542 27.5 ab
18.06999999999971 desg 1.383 2.833 27.5 ab
18.085999999995693 desr -3.27 2.464 27.5 ab
18.096999999994296 desi -2.969 5.434 27.5 ab
19.237999999997555 desz 6.041 6.292 27.5 ab
26.18699999999808 desg 1.819 6.13 27.5 ab
26.199000000000524 desr 6.44 3.376 27.5 ab
26.214999999996508 desi 3.724 6.211 27.5 ab
30.17899999999645 desz -5.95 5.863 27.5 ab
33.05399999999645 desg -10.24 6.916 27.5 ab
33.06999999999971 desr -2.916 4.055 27.5 ab
33.07799999999406 desi -24.49 8.223 27.5 ab
38.14400000000023 desz -0.6221 5.281 27.5 ab
48.13999999999942 desg 5.17 4.037 27.5 ab
48.15999999999622 desr -0.7794 2.884 27.5 ab
49.15199999999459 desi 7.341 3.546 27.5 ab
50.15199999999459 desz 6.344 4.287 27.5 ab
60.02300000000105 desg -17.61 14.51 27.5 ab
60.0309999999954 desr 10.04 5.407 27.5 ab
60.03899999999703 desi 14.2 5.99 27.5 ab
60.05399999999645 desz 8.196 6.738 27.5 ab
64.0969999999943 desg 8.553 7.764 27.5 ab
64.11299999999756 desr 10.94 3.885 27.5 ab
68.02699999999459 desi 29.45 3.533 27.5 ab
68.03899999999703 desz 25.75 4.491 27.5 ab
77.0309999999954 desg 0.8449 2.876 27.5 ab
77.03899999999703 desr 8.627 2.192 27.5 ab
77.04299999999785 desi 17.8 3.083 27.5 ab
77.05799999999726 desz 29.16 3.709 27.5 ab
89.02300000000105 desg -7.013 14.79 27.5 ab
89.0309999999954 desr 6.586 6.188 27.5 ab
89.03899999999703 desi 27.34 6.934 27.5 ab
90.02300000000105 desz 37.71 13.47 27.5 ab
